,Year,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
0,2010,998.0,58.16,5.0,1.75,False,False,False,False,True
1,2015,1582.0,126.2,5.0,12.5,True,False,False,False,True
2,2011,1199.0,88.7,5.0,4.5,False,False,False,True,True
3,2012,1248.0,88.76,7.0,6.0,True,False,False,False,True
4,2013,1968.0,140.8,5.0,17.74,True,False,False,False,False
5,2012,814.0,55.2,5.0,2.35,False,False,True,False,True
6,2013,1461.0,63.1,5.0,3.5,True,False,False,False,True
7,2016,2755.0,171.5,8.0,17.5,True,False,False,False,False
8,2013,1598.0,103.6,5.0,5.2,True,False,False,False,True
9,2012,1248.0,74.0,5.0,1.95,True,False,False,False,True
10,2018,1462.0,103.25,5.0,9.95,False,False,False,True,True
11,2012,1497.0,116.3,5.0,4.49,False,False,False,True,False
12,2015,1248.0,74.0,5.0,5.6,True,False,False,False,True
13,2014,2179.0,187.7,5.0,27.0,True,False,False,False,False
14,2012,2179.0,115.0,5.0,17.5,True,False,False,False,False
15,2014,2477.0,175.56,7.0,15.0,True,False,False,False,True
16,2016,1498.0,98.6,5.0,5.4,True,False,False,False,True
17,2017,1248.0,74.0,5.0,5.99,True,False,False,False,True
18,2014,1461.0,83.8,5.0,6.34,True,False,False,False,True
19,2014,2143.0,167.62,5.0,28.0,True,False,False,False,False
20,2014,1995.0,190.0,5.0,18.55,True,False,False,False,False
21,2015,1248.0,88.5,5.0,8.25,True,False,False,False,True
22,2015,1984.0,177.01,5.0,23.5,False,False,False,True,False
23,2010,1197.0,80.0,5.0,1.87,False,False,False,True,True
24,2010,1598.0,103.6,5.0,2.85,False,False,False,True,False
25,2012,1497.0,116.3,5.0,4.25,False,False,False,True,True
26,2012,1461.0,63.1,5.0,4.25,True,False,False,False,True
27,2013,998.0,67.1,5.0,2.75,False,False,False,True,True
28,2018,1199.0,88.7,5.0,9.9,False,False,False,True,True
29,2007,2494.0,102.0,7.0,4.0,True,False,False,False,True
30,2013,1461.0,108.45,5.0,7.75,True,False,False,False,True
31,2012,1798.0,138.1,5.0,6.75,False,False,False,True,True
32,2013,2696.0,184.0,7.0,12.5,True,False,False,False,False
33,2010,2698.0,179.5,5.0,11.5,True,False,False,False,False
34,2014,1598.0,103.5,5.0,6.98,False,False,False,True,True
35,2009,1061.0,64.0,5.0,1.85,False,False,False,True,True
36,2018,1248.0,88.5,5.0,8.63,True,False,False,False,True
37,2017,1198.0,82.0,5.0,4.85,False,False,False,True,True
38,2013,2987.0,254.8,5.0,28.0,True,False,False,False,False
39,2013,1199.0,73.9,5.0,5.0,True,False,False,False,True
40,2008,796.0,46.3,5.0,1.25,False,False,False,True,True
41,2014,624.0,37.5,4.0,1.53,False,False,False,True,True
42,2017,1198.0,77.0,6.0,5.58,True,False,False,False,True
43,2014,1197.0,82.9,5.0,4.74,False,False,False,True,True
44,2014,1999.0,149.92,5.0,8.85,False,False,False,True,False
45,2016,1798.0,138.03,5.0,10.11,False,False,False,True,False
46,2008,1991.0,112.2,5.0,4.25,True,False,False,False,True
47,2012,2694.0,163.7,7.0,10.95,False,False,False,True,True
48,2014,1120.0,71.0,5.0,3.85,True,False,False,False,True
49,2012,2498.0,105.0,6.0,5.5,True,False,False,False,True
50,2015,1968.0,174.33,5.0,21.43,True,False,False,False,False
51,2014,1248.0,74.0,5.0,4.25,True,False,False,False,True
52,2014,1248.0,75.0,5.0,3.3,True,False,False,False,True
53,2013,1248.0,74.0,5.0,3.85,True,False,False,False,True
54,2015,1197.0,82.0,5.0,3.6,False,False,False,True,True
55,2015,1598.0,103.2,5.0,3.99,False,False,False,True,True
56,2017,799.0,53.3,5.0,3.3,False,False,False,True,True
57,2010,1197.0,78.9,5.0,2.07,False,False,False,True,True
58,2010,1995.0,147.6,5.0,7.75,True,False,False,False,False
59,2010,998.0,67.1,5.0,2.25,False,False,False,True,True
60,2017,2393.0,147.8,8.0,16.5,True,False,False,False,True
61,2010,1399.0,68.0,5.0,2.75,True,False,False,False,True
62,2015,1796.0,186.0,5.0,26.7,False,False,False,True,False
63,2011,2148.0,170.0,5.0,10.0,True,False,False,False,True
64,2016,1396.0,69.0,5.0,2.5,True,False,False,False,True
65,2012,1968.0,140.0,5.0,13.5,True,False,False,False,False
66,2007,1497.0,78.0,5.0,1.85,False,False,False,True,False
